Volts,nA
12.8,0.003565
12.7,0.003735
12.6,0.00416
12.5,0.004665
12.4,0.004965
12.3,0.005395
12.2,0.00594
12.1,0.00644
12,0.007055
11.9,0.00759
11.8,0.008065
11.7,0.0085
11.6,0.00907
11.5,0.00949
11.4,0.00949
11.3,0.009265
11.2,0.008705
11.1,0.00818
11,0.00687
10.9,0.006475
10.8,0.005855
10.7,0.00549
10.6,0.00464
10.5,0.00452
10.4,0.004055
10.3,0.003675
10.2,0.002075
10.1,0.00201
10,0.00227
9.9,0.00242
9.8,0.0023
9.7,0.00211
9.6,0.00194
9.5,0.00195
9.4,0.00176
9.3,0.00198
9.2,0.00122
9.1,0.00096
9,0.00125
8.9,0.00131
8.8,0.00163
8.7,0.00151
8.6,0.00192
8.5,0.00181
8.4,0.00201
8.3,0.002
8.2,0.00222
8.1,0.00231
8,0.0025
7.9,0.00246
7.8,0.00267
7.7,0.00287
7.6,0.0029
7.5,0.003
7.4,0.00311
7.3,0.003
7.2,0.00291
7.1,0.00289
7,0.00331
6.9,0.00323
6.8,0.00204
6.7,0.00221
6.6,0.00235
6.5,0.00259
6.4,0.00261
6.3,0.00208
6.2,0.00198
6.1,0.00171
6,0.00144
5.9,0.0013
5.8,0.00116
5.7,0.00096
5.6,0.00087
5.5,0.0007
5.4,0.00063
5.3,0.00064
5.2,0.00037
5.1,0.0004
5,0.00035
4.9,0.00023
4.8,0.00016
4.7,0.00015
4.6,0.00015
4.5,0.0002
4.4,0.0015
4.3,0.0008
4.2,0.00015
4.1,0.0007
4,0.0008
3.9,0.0001
3.8,0.00012
3.7,0.00009
3.6,0.00004
3.5,0.00008
3.4,0.00004
3.3,0.00005
3.2,0.00003
3.1,0.00011
3,0.00005
2.9,0.00005
2.8,0.00008
2.7,0.00006
2.6,0.00004
2.5,0.00003
2.4,0.0001
2.3,0.0001
2.2,0.00014
2.1,0.00013
2,0.00014
1.9,0.00002
1.8,0.00003
1.7,0.00006
1.6,0.00014
1.5,0.00008
1.4,0.00007
1.3,0.00003
1.2,0.00005
1.1,0.00011
1,0.00008
0.9,0.00005
0.8,0.00005
0.7,0.00003
0.6,0.00007
0.5,0.00004
0.4,0.00004
0.3,0.00003
0.2,0.00003
0.1,0.00002
0,0.00026
